class,species,common.name,latitude,longitute,temp,NPP,daylength,mass.g,FMR.kJ.day,diet,reference,notes
Mammals,Cervus elaphus,Red deer,57.15,-2.083333333,13.3,3.04032,15.11261473,107000,25000,herb,60,
Mammals,Cleithrionomys rutilus,Bank vole,64.85,-147.7166667,-2.98,1.81581,,16,57.6,herb,"108, 64",
Mammals,Dasyurus viverrinus,Eastern quoll,-42,147,8.69,3.62839,,1029,793,carn,"134, 53",
Mammals,Dipodomys merriami,Merriam's kangaroo rat,42,-71,16,6.95452,10.96324507,28.2,57.805488,herb,"108, 90",
Mammals,Dipodomys merriami,Merriam's kangaroo rat,42,-71,30,6.95452,13.77592064,31.72,23.17412448,herb,"108, 90",
Mammals,Dipodomys merriami,Merriam's kangaroo rat,42,-71,26,6.95452,12.40801681,32.35,40.4675208,herb,"108, 90",
Mammals,Dipodomys merriami,Merriam's kangaroo rat,42,-71,12,6.95452,9.69663994,34.28,41.26023072,herb,"108, 90",
Mammals,Dipodomys merriami,Merriam's kangaroo rat,42,-71,12.5,6.95452,,35.85777778,56.09873048,herb,"108, 90",
Mammals,Dipodomys merriami,Merriam's kangaroo rat,42,-71,1,6.95452,8.970123962,37.42,61.75736928,herb,"108, 90",
Mammals,Dipodomys merriami,Merriam's kangaroo rat,42,-71,2.5,6.95452,10.40111966,37.92,67.96386432,herb,"108, 90",
Mammals,Dipodomys merriami,Merriam's kangaroo rat,42,-71,4,6.95452,11.69928886,39.53,102.0149129,herb,"108, 90",
Mammals,Dipodomys merriami,Merriam's kangaroo rat,42,-71,4,6.95452,9.261325035,39.69,40.6790748,herb,"108, 90",
Mammals,Dipodomys merriami,Merriam's kangaroo rat,42,-71,17,6.95452,13.14788015,41.61,69.76598904,herb,"108, 90",
Mammals,Dipodomys microps,Chisel-tooth kangaroo rat,42,-71,14.15,6.95452,,57.1,84.5,omn,"108, 90",
Mammals,Eptesicus fuscus,Big brown bat,42,-71,18.13333333,6.95452,15.03761675,20.8,43.6,carn,"108, 78",
Mammals,Eremitalpa namibensis,Namib Desert golden mole,-23,15,17.25,,13.04273115,20.7,12.5,carn,"108, 130",
Mammals,Gerbillus allenbyi,Allenby's gerbil,31.01666667,34.75,19.41666667,,,22.8,35.6,herb,"108, 56",
Mammals,Gerbillus henleyi,Northern pygmy gerbil,30.58333333,34.75,17.7,,,9.3,26.5,herb,"108, 33",
Mammals,Gerbillus pyramidum,Greater Egyptian gerbil,31.01666667,34.75,19.41666667,,,31.8,45.2,herb,"108, 34",
Mammals,Gymnobelideus leadbeateri,Leadbeater's possum,-37.56666667,145.8833333,10.5,,,125,226,omn,"108, 133",
Mammals,Isoodon auratus,Golden bandicoot,-20.75,115.3333333,26.35,,,333,285,omn,"108, 10",
Mammals,Isoodon obesulus,Short-nosed brown bandicoot,-32,116,17.9,1.25484,11.20494501,1230,644,omn,"108, 106",
Mammals,Lagorchestes conspicillatus,Spectacled hare-wallaby,-20.75,115.3333333,25.5,,12.95707646,2529,680,herb,98,
Mammals,Lemmus trimucronatus,Brown lemming,71.3,-156.6666667,4.2,0.42451,24,55.2,201,herb,"108, 114",
Mammals,Lepus californicus,Black-tailed jackrabbit,35,-114,17.7583,0.48225,,1800,1300,herb,"108, 132",
Mammals,Lyacon pictus,African wild dog,-25,32,19.5,7.92355,10.62372067,25170,15300,carn,"108, 52",
Mammals,Macropus robustus isabellinus,Barrow Island euro/ Common or hill wallaroo,-20.75,115.3333333,25.5,,12.95707646,12912,1572,herb,98,
Mammals,Macrotis lagotis,Greater bilby,-24.21666667,140.5666667,30.9,0.45645,13.34585247,848,533.8,omn,49,
Mammals,Macrotis lagotis,Greater bilby,-24.21666667,140.5666667,16.23333333,0.45645,10.62702132,928,655.3,omn,49,
Mammals,Macrotus californicus,Big-eared bat,34,-116,23.125,0.18516,9.968203876,13,21.5,carn,"108, 7",
Mammals,Meriones crassus,Jird,30.58333333,34.75,17.7,,,69.2,65,herb,"108, 33",
Mammals,Microcebus murinus,Grey mouse lemur,-20,44.6,22.35,,,64.46,112.092,omn,129,
Mammals,Microgale dobsoni,Shrew-tenrec,-18.15,47.26666667,17.64166896,8.73581,,42.6,77.1,carn,"108, 136",
Mammals,Microgale talazaci,Shrew-tenrec,-18.46666667,48.46666667,19.9083341,9.33645,,42.8,66.5,carn,"108, 136",
Mammals,Microtus agrestis,Field vole,53.15,6.55,15,4.38774,14.66159703,26.5,72.7,herb,"108, 80",
Mammals,Microtus pennsylvanicus,Meadow vole,46.86666667,-71.21666667,18.7,,14.81088428,36.9,115,herb,"108, 8",
Mammals,Mirounga angustirostris,Northern elephant seal,37.56666667,-122.3333333,10,2.23452,9.674507029,86750,30804,carn,"107, 75",
Mammals,Mus domesticus,Wild house mouse,-34.53333333,138.4333333,17,1.99097,,15.1,47.1,omn,"108, 95",
Mammals,Mus musculus,House mouse,-46.9,37.75,7,,9.861944766,19.3,65.1,herb,"134, 125",
Mammals,Myotis lucifugus,Little brown bat,42.88333333,-71.95,17.925,6.33387,15.13224167,9,29.9,carn,"108, 77",
Mammals,Odocoileus hemionus,Mule deer,38.55,-121.7333333,22.3,1.41419,,39100,18000,herb,"108, 97",
